Field=#~Integer~#~50|Field=Comment~String~Comment~169|Field=Description~String~Description~208|Field=Designator~String~Designator~226|Field=Footprint~String~Footprint~137|Field=LibRef~String~LibRef~247|Field=Quantity~Integer~Quantity~27|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~МЦТР.00010572.00.001.PrjPcb|ReportField=ProjectFullPath~D:\IGAS_Transfer\Lorentz\00. LCP2116\02_Электроника\01_Проект печатной платы\LCP rev 7.2\МЦТР.00010572.00.001.PrjPcb|ReportField=Title~Bill of Materials For Project [МЦТР.00010572.00.001.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~276|ReportField=ReportTime~21:51:44|ReportField=ReportDate~15.02.2026|ReportField=ReportDateTime~15.02.2026 21:51:44|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~15.02.2026|ReportField=CurrentTime~21:51:42|ReportField=Date~|ReportField=DocumentFullPathAndName~D:\IGAS_Transfer\Lorentz\00. LCP2116\02_Электроника\01_Проект печатной платы\LCP rev 7.2\ETH_HMI.SchDoc|ReportField=DocumentName~ETH_HMI.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~17.08.2022|ReportField=Organization~|ReportField=ProjectName~МЦТР.00010572.00.001.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~МЦТР.00010572.00.001.PrjPcb|ReportField=DataSourceFullPath~D:\IGAS_Transfer\Lorentz\00. LCP2116\02_Электроника\01_Проект печатной платы\LCP rev 7.2\МЦТР.00010572.00.001.PrjPcb|ReportField=PCBConfigurationName~Default Configuration|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
15|Resettable FUSE|MF-USMF005-2|F1, F3, F4, F5, F6, F7, F8, F9, F10, F11, F12, F13, F14, F15|1210|Fuse PTS|14
16|MF-MSMF030-2 0.50A||F2|Fuse PTS|Fuse PTS|1
17|USBB-1J|USBB-1J|J1|USB B|USBB-1J|1
18|100MHz|BLM21PG220SN1D, BLM21PG220SN1D, BLM21PG220SN1D, BLM21PG220SN1D, BLM41PG102SN1L, BLM41PG102SN1L, BLM41PG102SN1L, BLM41PG102SN1L|L1, L2, L3, L4, L6, L7, L8, L9|0805|BLM21PG220SN1D|8
19|CDRH127/LDNP-220MC|CDRH127/LDNP-220MC|L5|CDRH127/LDNP-270MC,|CDRH127/LDNP-270MC|1
20|Light Guide 2|KP-1608SYC, KP-1608SYC, KP-1608SYC, KP-1608SGC, KP-1608SGC|LED1, LED2, LED3, LED4, LED5|LED SMD DayLight|Light Guide 2|5
21|MCD 1.5/6-G1-3.81|Header, 6-Pin, Dual row|P1|mcd 1,5/6-G1-3.81|Header 6X2|1
22|X2X|EMSTBA 2.5/5-G-5.08|P3|PhClass5|EMSTBA 2.5/5-G-5.08|1
23|100k|RC0603FR-07100KL|R1, R9|0603|Resistor 0805, 0603 RES|2
24|10k|RT0603FRE0710KL, RC0603FR-078K2, RT0603FRE0710KL, RT0603FRE0710KL, RT0603FRE0710KL, RC0603FR-078K2, RC0603FR-078K2, RC0603FR-078K2, RC0603FR-078K2, RC0603JR-0710K, RC0603FR-078K2, RC0603FR-078K2, RC0603JR-0710K, RC0603JR-0710K, RC0603JR-0710K, RC0603JR-0710K, RC0603JR-0710K, RC0603JR-0710K, RC0603JR-0710K, RC0603JR-0710K, RC0603JR-0710K, RC0603JR-0710K, RC0603JR-0710K, RC0603JR-0710K, RC0603JR-0710K, RC0603JR-0710K, RC0603JR-0710K, RC0603JR-0710K, RC0603JR-0710K, RC0603JR-0710K, RC0603JR-0710K, RC0603JR-0710K, RC0603JR-0710K, RC0603JR-0710K, RC0603JR-0710K, RT0603FRE0710KL, RT0603FRE0710KL|R2, R6, R8, R11, R12, R14, R15, R23, R25, R26, R32, R34, R43, R45, R46, R47, R49, R50, R51, R52, R53, R56, R57, R58, R74, R82, R83, R84, R87, R88, R89, R90, R91, R94, R95, R102, R103|0603|Resistor 0805, Resistor 0805, Resistor 0805, Resistor 0805, Resistor 0805, Resistor 0805, Resistor 0805, Resistor 0805, Resistor 0805, Resistor 0805, Resistor 0805, Resistor 0805, 0603 RES, 0603 RES, 0603 RES, 0603 RES, 0603 RES, 0603 RES, 0603 RES, 0603 RES, 0603 RES, 0603 RES, 0603 RES, 0603 RES, 0603 RES, 0603 RES, 0603 RES, 0603 RES, 0603 RES, 0603 RES, 0603 RES, 0603 RES, 0603 RES, 0603 RES, 0603 RES, Resistor 0805, Resistor 0805|37
25|39|0805 SMD Resistor|R3, R4|0603|Resistor 0805|2
26|6k2|0805 SMD Resistor, 0805 SMD Resistor, RC0603FR-076K2, RC0603FR-076K2, 0805 SMD Resistor|R5, R21, R63, R100, R101|0603|Resistor 0805, Resistor 0805, 0603 RES, 0603 RES, Resistor 0805|5
27|510|RC0603JR-07510RL|R7, R65, R67, R71, R105, R108, R109|0603|Resistor 0805|7
28|1k|RC0603FR-078K2, RC0603FR-078K2, RC0603JR-0710K, RC0603JR-0710K, RC0603FR-078K2, RC0603FR-078K2, RC0603FR-078K2, RC0603FR-078K2, RC0603FR-078K2, RC0603FR-078K2, RC0603FR-078K2|R10, R16, R27, R29, R70, R72, R73, R75, R104, R107, R110|0603|Resistor 0805|11
29|49.9R|RC0603FR-0749R9|R13, R22, R40, R41, R54, R55, R92, R93|0603|0603 RES|8
30|240|RC0603JR-07120R, RC0603JR-07120R, RC0603JR-07120R, RC0603JR-07120R, 0805 SMD Resistor, RC0603JR-07120R, RC0603JR-07120R, 0805 SMD Resistor, CRCW060310R0FKEA, CRCW060310R0FKEA, 0805 SMD Resistor, 0805 SMD Resistor, 0805 SMD Resistor, 0805 SMD Resistor, RC0603JR-07120R, RC0603JR-07120R, RC0603JR-07120R, RC0603JR-07120R, RC0603JR-07120R, RC0603JR-07120R, CRCW060310R0FKEA, CRCW060310R0FKEA|R18, R19, R24, R28, R30, R33, R37, R39, R44, R48, R64, R66, R68, R69, R76, R77, R78, R79, R80, R81, R85, R86|0603|Resistor 0805, Resistor 0805, Resistor 0805, Resistor 0805, Resistor 0805, Resistor 0805, Resistor 0805, Resistor 0805, 0603 RES, 0603 RES, Resistor 0805, Resistor 0805, Resistor 0805, Resistor 0805, Resistor 0805, Resistor 0805, Resistor 0805, Resistor 0805, Resistor 0805, Resistor 0805, 0603 RES, 0603 RES|22
31|10|CRCW060310R0FKEA|R31, R42|0603|0603 RES|2
32|33|RC0603FR-0733R|R59, R60, R61, R62, R96, R97, R98, R99|0603|0603 RES|8
33|DM3AT-SF-PEJM5||SD1|DM3AT-SF-PEJM5|DM3AT-SF-PEJM5|1
34|BSS138|IRLML2402|T1, T2, T3, T4, T5, T6, T7|SOT23|IRLML2402|7
35|SMAJ5.0CA|SMAJ5.0CA|TVS1|SM6T|SM6T12CA|1
36|SMAJ5.0CA|SMAJ30CA|TVS2, TVS3, TVS4, TVS5, TVS6, TVS7, TVS8, TVS9, TVS10, TVS11, TVS12, TVS13, TVS14, TVS15|DO-214AC|SMAJ5.0CA|14
37|TVS Diode|SMAJ6.0CA|TVS16, TVS17, TVS18, TVS19, TVS20, TVS21, TVS22|DO-214AC|TVS|7
38|ATSAM3X8EA-AU||U1|LFBGA 144|ATSAM3X/AAU|1
39|TPS54331||U2|SOIC 8|TPS54331|1
40|LM1117MPX-3.3||U3|SOT223|NCV1117ST50T3G|1
41|SN65HVD1785D|SN65HVD1785D|U4, U5, U6, U7, U8, U9, U10|MAX485 - duplicate|MAX485|7
42|W5500|W5500|U11, U16|LQFP 48|W5500|2
43|Gate|SN74LVC1G125DBVR|U12, U13, U14, U15, U17|SOT23 - 5 lead|Gate|5
44|SC16IS752|SC16IS752IPW|U18|TSSOP28|SC16IS752|1
45|TS391ILT||U21|SOT23 - 5 lead|TS391ILT|1
46|32.768Khz|KX – 327XS|XT1|KX – 327|KX – 327XS|1
47|14.7456MHz|Geyer KX-7 14.7456MHz|XTL2|KX-7 XTAL|KX-7|1
48|25.0 MHz|Geyer KX-7 25.0 MHz|XTL4, XTL5|KX-7 XTAL|KX-7|2
49|12.0 MHz|Geyer KX-7 12.0 MHz|XTL6|KX-7 XTAL|KX-7|1
50|CG0603MLC-05E|<b>VARISTOR</b>|Z1, Z2|0603|VARISTORCN0603|2
